DW112135  RICHMOND ROMAN 24  M 45675
XB112605  RICHARDSON MARIANNE 86  F 45677
QR112984  ROLLINS DELORIS 77  F 45674
FX112280  HANSON DORTHY 74  F 45674
OC113020  ALVAREZ TOBY 63  M 45677
OL112842  GIBSON ROBIN 46  M 45675
TR112939  HENDRIX ROLF 30  M 45676
CZ112509  KELLY JONAH 50  M 45674
QH112600  DOTSON DELIA 56  F 45676
XO112120  SKINNER AVERY 54  M 45675
HK112932  BUTLER STEVEN 65  M 45675
FV113028  GILES SARA 78  F 45674
VH112786  STOUT ELIJAH 71  M 45675
SI112276  WOLF ANITA 44  F 45676
QJ112825  ONEAL MARTHA 55  F 45675
